round,contri
1,0.5000000000001132
2,0.6523278764659566
3,0.5032273476702818
4,0
5,0
6,0.49883452378571747
7,0
8,0.5495756361965608
9,0.49325535826833183
10,1.0
11,0.5015520556827835
12,0.5000126523446894
13,0.5000000529807189
14,0.48347107456502936
15,0.4986711462221987
16,0.504751230115733
17,0.46697949948469936
18,0.5369819190775779
19,1.0
20,0
21,0.505327814616282
22,0.49587244121315144
23,1.0
24,0.5092055456065953
25,0.5005464452966137
26,0.47715620561859845
27,0.485902429763409
28,0.5221336352550808
29,0.4971233467809017
30,0.49538137388010794
31,0.531139655400263
32,0.48146085027979213
33,0.5011641482886131
34,0.5451845612196735
35,0.5020897492543194
36,0.49680136971446537
37,0.4836789404981715
38,0.4852113791824736
39,0.5132302172080624
40,0.5153232190145333
41,0.49134951033435437
42,0.5204050273860557
43,0.5363534949058791
44,0.5114573649533405
45,0.45085668359908226
46,0.5330798932627963
47,0.49277321041377503
48,0.5092020219388979
49,0.49025059909981383
50,0.504470776021169
51,0.4931782097600126
52,0.5040926287833472
53,1.0
54,0.5105343346821922
55,0.5194063414520405
56,0.4657735753564211
57,0.5136974974257614
58,0.5197859226320323
59,0.483792792976785
60,0.5055399379521481
61,0.4979726791470126
62,0.4974094911054502
63,0.49600562364295014
64,0.5023715706152097
